datetime,temp_avg,hum_avg,pressure_avg,rain
01-11-1996,22.33333333,52.91666667,1011.333333,0
02-11-1996,22.91666667,48.625,1009.833333,0
03-11-1996,21.79166667,55.95833333,1010.5,0
04-11-1996,22.72222222,48.05555556,1011.333333,0
05-11-1996,27.8,29.4,1011.8,0
06-11-1996,21.9375,47.875,1011.8125,0
07-11-1996,21.75,48,1013.416667,0
08-11-1996,21.43546956,45.74622837,1014.708333,0
09-11-1996,19.90909091,47.18181818,1013.863636,0
10-11-1996,20.45454545,44.13636364,1012.181818,0
11-11-1996,22.08695652,37.73913043,1012.478261,0
12-11-1996,23.45833333,39.33333333,1012.208333,0
13-11-1996,23.45440302,51.51780352,1012.434783,0
14-11-1996,21.88888889,45.72222222,1016.888889,0
15-11-1996,17.61111111,53.44444444,1019.055556,0
16-11-1996,17.56596679,40.63224913,1016.181818,0
17-11-1996,17.45833333,41.125,1017.416667,0
18-11-1996,18.63157895,39.21052632,1017.210526,0
19-11-1996,19.2173913,46.2173913,1016.478261,0
20-11-1996,19.63636364,61.36363636,1016.954545,0
21-11-1996,17.68181818,60.09090909,1016.636364,0
22-11-1996,14.88888889,56.44444444,1015.777778,0
23-11-1996,16.2173913,52.86956522,1015.478261,0
24-11-1996,16.125,51.70833333,1013.875,0
25-11-1996,16.90909091,47.40909091,1013.909091,0
26-11-1996,19.41092476,47.12649917,1014.521739,0
27-11-1996,17.52380952,54.9047619,1014.285714,0
28-11-1996,17.31578947,45.68421053,1014.473684,0
29-11-1996,14.24512695,50.79094809,1015,0
30-11-1996,14.22727273,48.95454545,1016.136364,0
01-12-1996,13.95454545,53.86363636,1016.272727,0
02-12-1996,15.28571429,49.19047619,1015.047619,0
03-12-1996,16.15789474,59.31578947,1016.789474,0
04-12-1996,16.23809524,56.0952381,1015.666667,0
05-12-1996,15.89473684,55.94736842,1015.578947,0
06-12-1996,14.30434783,52.65217391,1018.043478,0
07-12-1996,12.27272727,48.59090909,974.4545455,0
08-12-1996,11.08695652,43.08695652,1018.434783,0
09-12-1996,11.27272727,41.77272727,1017.136364,0
10-12-1996,12.24593912,44.36745674,1017.166667,0
11-12-1996,12.19173719,48.8283045,1016.888889,0
12-12-1996,12.32066291,49.81820476,1017.411765,0
13-12-1996,12.80952381,53.38095238,1017.333333,0
14-12-1996,12.54545455,54.09090909,1015.181818,0
15-12-1996,12.42105263,51.26315789,1013.842105,0
16-12-1996,14.34782609,44.39130435,1016.26087,0
17-12-1996,14.54545455,55.68181818,1018.727273,0
18-12-1996,14.16260579,58.28412341,1018.333333,0
19-12-1996,13.1,62.3,1019,0
20-12-1996,12.84210526,82.31578947,1019.315789,0
21-12-1996,16.20833333,63.03412341,1019.375,0
22-12-1996,12.65217391,66.26086957,1019.521739,0
23-12-1996,13.54529855,69.85283242,1018.904762,0
24-12-1996,14.72713623,61.16289504,1017.625,0
25-12-1996,15.52380952,67.23809524,1021,0
26-12-1996,17.08647904,74.17358917,1017.545455,0
27-12-1996,14.85714286,71.38095238,1019.238095,0
28-12-1996,14.45454545,71.13636364,1018.545455,0
29-12-1996,14.90909091,67.04545455,1018.772727,0
30-12-1996,15.28048998,66.99606439,1019.391304,0
31-12-1996,15.06309867,75.95258613,1020,0
01-01-1997,14.5848378,80.82215134,1019.217391,0
02-01-1997,13.30434783,82.43478261,1016.782609,0
03-01-1997,15,71.94736842,1016.368421,0
04-01-1997,15.90909091,70.90909091,1016.545455,0
05-01-1997,14.95238095,70.28571429,1017.952381,0
06-01-1997,14.35482236,80.85283242,1019.714286,0
07-01-1997,12.58333333,68.91666667,1020.5,0
08-01-1997,13.23809524,63.57142857,1454.714286,0
09-01-1997,12.66666667,71.70833333,1021.083333,0
10-01-1997,12.95454545,70.22727273,1019.818182,0
11-01-1997,12.86363636,68.22727273,1019.5,0
12-01-1997,12.52380952,74.14285714,1018.904762,0
13-01-1997,12.12901418,73.100499,1017.947368,0
14-01-1997,12.66260579,72.28412341,1017.208333,0
15-01-1997,12.26086957,72.13043478,1017.782609,0
16-01-1997,8.8,88.2,1019.6,0
17-01-1997,12.75,67.66666667,1017.75,0
18-01-1997,15.75,46.5,1016.8,0
19-01-1997,12.20833333,90.58333333,1010.541667,1
20-01-1997,13.33333333,86.33333333,1012.555556,0
21-01-1997,11.08333333,91.33333333,979,0
22-01-1997,9.583333333,90.25,1018,0
23-01-1997,11.08695652,82.39130435,1015.608696,0
24-01-1997,10.91304348,75.17391304,1014.565217,0
25-01-1997,12.36363636,68.54545455,1015.545455,0
26-01-1997,14.57927246,71.74245674,1016.708333,0
27-01-1997,14.20233043,75.9958855,1017.318182,0
28-01-1997,12.65217391,81,1016.956522,0
29-01-1997,12.75,81.08333333,1015.125,0
30-01-1997,17.3935026,67.92126412,1014.133333,0
31-01-1997,13.05263158,83.47368421,1012.631579,0
01-02-1997,15.23809524,72.85714286,1011.333333,0
02-02-1997,14.45833333,85.41666667,1008.5,1
03-02-1997,14.66666667,89.52380952,1011.571429,1
04-02-1997,12.45454545,89.5,1013.818182,0
05-02-1997,12.3,70,1014.55,0
06-02-1997,12.95,65.1,1014.95,0
07-02-1997,13.84070434,63.05684256,1012.5625,0
08-02-1997,17.13043478,57.86956522,1007.608696,0
09-02-1997,14.04761905,81.57142857,1009.428571,0
10-02-1997,15.54135954,59.56128178,1013.304348,0
11-02-1997,13.5,58.95833333,1016.541667,0
12-02-1997,14.28048998,58.82215134,1016.695652,0
13-02-1997,15.625,52.41666667,976.4166667,0
14-02-1997,17.43478261,61.39130435,967.9565217,0
15-02-1997,17.5,60.27272727,1010.590909,0
16-02-1997,16.26086957,49.7826087,1012.695652,0
17-02-1997,15.77272727,48.04545455,1012.727273,0
18-02-1997,16.91304348,51.34782609,1013.478261,0
19-02-1997,16.77272727,46.27272727,1016.727273,0
20-02-1997,14,62.73333333,1018.066667,0
21-02-1997,16.05263158,55.21052632,1017.210526,0
22-02-1997,15.38888889,57.22222222,1016.222222,0
23-02-1997,18.26086957,52.56521739,1014.26087,0
24-02-1997,21.61904762,53,1013.095238,0
25-02-1997,19.14285714,71.07142857,1013.214286,0
26-02-1997,19.57142857,69,1014.571429,0
27-02-1997,18.75,50,1014.625,0
28-02-1997,18.47058824,55.70588235,1015.294118,0
01-03-1997,24.8028483,48.60608227,1012.111111,0
02-03-1997,20,52.18181818,1015.772727,0
03-03-1997,15.9047619,60,1017.714286,0
04-03-1997,17.34782609,56.95652174,1016.086957,0
05-03-1997,19.16666667,53.58333333,1016.125,0
06-03-1997,21.66666667,56.5,1016.791667,0
07-03-1997,21.7826087,61.04347826,1015.913043,0
08-03-1997,22.5188029,59.5795617,1015.375,0
09-03-1997,21.82608696,73,1014.130435,0
10-03-1997,21.3938029,68.24622837,1014.416667,0
11-03-1997,23.125,61.66666667,1014.166667,0
12-03-1997,23.26086957,55.82608696,1012.130435,0
13-03-1997,20.71428571,69.28571429,1011.52381,1
14-03-1997,20.86363636,71.95454545,1010.818182,0
15-03-1997,22.69173719,64.21719338,1011.888889,0
21-03-1997,22,54.73333333,1007.933333,0
22-03-1997,19.52051225,70.17770368,1011.863636,1
23-03-1997,19.52631579,66.68421053,1012.473684,0
24-03-1997,19.95454545,58.68181818,1013.181818,0
25-03-1997,21.33333333,54.54166667,1012.625,0
26-03-1997,22.45454545,52.54545455,1013.318182,0
27-03-1997,25,47.44444444,1013.111111,0
28-03-1997,23.55555556,63.16666667,1011.833333,1
29-03-1997,19.625,81.79166667,1011.041667,1
30-03-1997,21.52631579,68.57894737,1011.368421,0
31-03-1997,22.96951497,66.93941561,1010.888889,0
01-04-1997,23.71428571,63.19047619,1008.714286,0
02-04-1997,21.82608696,73.04347826,1008.217391,1
03-04-1997,18.36363636,90.90909091,1011.136364,1
04-04-1997,19.86363636,70.54545455,1013.590909,1
05-04-1997,21.11111111,67.61111111,1013.555556,0
06-04-1997,21.9047619,65.04761905,1012.571429,0
07-04-1997,23.18546956,66.24622837,1009.041667,0
08-04-1997,26.63636364,58.72727273,1007.863636,1
09-04-1997,23.23809524,77.95238095,1009.857143,1
10-04-1997,26.38461538,59.30769231,1010.384615,0
11-04-1997,27,59.625,1010.208333,0
